Bankrupt,ROA(B) before interest and depreciation after tax,Persistent EPS in the Last Four Seasons,Net profit before tax/Paid-in capital,Per Share Net profit before tax (Yuan ??),Borrowing dependency,Net worth/Assets,Net Income to Total Assets,ROA(C) before interest and depreciation before interest,Net Value Growth Rate,Net Income to Stockholder Equity,Net Value Per Share (C),ROA(A) before interest and % after tax,Net worth/Assets,Debt ratio %,Retained Earnings to Total Assets,Total debt/Total net worth,Liability to Equity,Per Share Net profit before tax (Yuan ??),Continuous interest rate (after tax),Total income/Total expense,Current Liability to Current Assets,Current Liability to Assets,Total Asset Turnover,Average Collection Days,Interest Coverage Ratio (Interest expense to EBIT),Operating Gross Margin
1,0.405749772,0.169140588,0.137757334,0.13873616,0.390284354,0.792423739,0.716845343,0.370594257,0.000326977,0.827890214,0.147949939,0.424389446,0.792423739,0.207576261,0.903224771,0.021265924,0.290201893,0.13873616,0.78098485,0.002021613,0.118250477,0.14730845,0.086956522,0.003487364,0.564050112,0.601457213
1,0.516730018,0.208943935,0.168961617,0.169917903,0.37676002,0.828823654,0.795297136,0.464290937,0.00044304,0.839969268,0.182251064,0.53821413,0.828823654,0.171176346,0.931065218,0.012502394,0.28384598,0.169917903,0.781505974,0.002225608,0.047775282,0.056962827,0.064467766,0.004916808,0.570174946,0.610235086
1,0.472295091,0.180580505,0.148035593,0.142803344,0.37909292,0.792484204,0.774669697,0.426071272,0.000396425,0.836774309,0.193712865,0.499018753,0.792484204,0.207515796,0.909903362,0.021247686,0.290188533,0.142803344,0.780283936,0.002060071,0.025346489,0.098162065,0.014992504,0.004226849,0.563706076,0.601450006
1,0.457733283,0.193722227,0.147560516,0.148602847,0.379742688,0.848535236,0.739554525,0.399844001,0.000382426,0.834697107,0.154186507,0.451264719,0.848535236,0.151464764,0.906902159,0.009572402,0.281721193,0.148602847,0.781240991,0.001831359,0.067249617,0.09871463,0.089955022,0.003214967,0.56466342,0.583541129
1,0.522297768,0.212536636,0.167460976,0.168411539,0.375025443,0.893490945,0.795015873,0.465022181,0.000438948,0.839972746,0.167502423,0.538432185,0.893490945,0.106509055,0.913850197,0.0051496,0.27851379,0.168411539,0.781550045,0.00222393,0.047725372,0.110194846,0.175412294,0.004366891,0.575616645,0.598783494
1,0.419133787,0.174435095,0.137825202,0.138811478,0.381448187,0.819572513,0.710420495,0.388680349,0.000351782,0.829938957,0.155577093,0.415176625,0.819572513,0.180427487,0.903041267,0.014213152,0.2850871,0.138811478,0.781069061,0.001865609,0.099521933,0.139002106,0.095952024,0.004137189,0.564538339,0.590171378
0,0.436158253,0.161482462,0.127939069,0.128944792,0.384998982,0.783898177,0.736619098,0.390922829,0.000351757,0.829979764,0.158821794,0.445704317,0.783898177,0.216101823,0.911441408,0.024441222,0.292504124,0.128944792,0.781180079,0.002120736,0.060765125,0.115920412,0.100449775,0.003805018,0.56420012,0.619949841
0,0.559077038,0.225205635,0.17951889,0.180462454,0.374219105,0.891797926,0.815350392,0.508360552,0.00045105,0.84145944,0.176983692,0.570922372,0.891797926,0.108202074,0.935449309,0.005278181,0.278607306,0.180462454,0.781621483,0.002359999,0.030201105,0.087041801,0.218890555,0.004740049,0.566088942,0.601738278
0,0.543283902,0.218398412,0.172158962,0.173156587,0.370253398,0.941409439,0.80364729,0.488519475,0.000452722,0.840486633,0.184189457,0.545137375,0.941409439,0.058590561,0.935200209,0.002266116,0.276422514,0.173156587,0.781598185,0.00227396,0.021710461,0.058059728,0.154422789,0.004855326,0.565591901,0.603612044
0,0.542962685,0.217831143,0.175657944,0.176621225,0.37450876,0.878707259,0.804194657,0.495685663,0.000444912,0.840688177,0.177447221,0.550915831,0.878707259,0.121292741,0.938289897,0.006354244,0.279387519,0.176621225,0.781574185,0.002269196,0.025494302,0.094563303,0.347826087,0.004302847,0.566667622,0.599208694
