Bankrupt,Persistent EPS in the Last Four Seasons,Borrowing dependency,Net Value Growth Rate,Net worth/Assets,Retained Earnings to Total Assets,Continuous interest rate (after tax)
1,0.169140588,0.390284354,0.000326977,0.792423739,0.903224771,0.78098485
1,0.208943935,0.37676002,0.00044304,0.828823654,0.931065218,0.781505974
1,0.180580505,0.37909292,0.000396425,0.792484204,0.909903362,0.780283936
1,0.193722227,0.379742688,0.000382426,0.848535236,0.906902159,0.781240991
1,0.212536636,0.375025443,0.000438948,0.893490945,0.913850197,0.781550045
1,0.174435095,0.381448187,0.000351782,0.819572513,0.903041267,0.781069061
0,0.161482462,0.384998982,0.000351757,0.783898177,0.911441408,0.781180079
0,0.225205635,0.374219105,0.00045105,0.891797926,0.935449309,0.781621483
0,0.218398412,0.370253398,0.000452722,0.941409439,0.935200209,0.781598185
0,0.217831143,0.37450876,0.000444912,0.878707259,0.938289897,0.781574185
0,0.21896568,0.374179962,0.000448555,0.896423497,0.942828956,0.781629483
0,0.20468942,0.373113046,0.000455068,0.905614173,0.932955215,0.781373202
0,0.219343859,0.377306898,0.000442965,0.855337546,0.930139635,0.781609132
0,0.212914815,0.37315107,0.000442092,0.89343048,0.930763203,0.781550887
0,0.226434717,0.373692357,0.000473734,0.910360674,0.940251658,0.781709624
0,0.223787463,0.373544733,0.000469242,0.900928137,0.93354091,0.781652501
0,0.220194762,0.372267566,0.000458562,0.938718747,0.942018219,0.781933905
0,0.233052851,0.372724975,0.000471763,0.921274602,0.948858907,0.781726606
0,0.220005673,0.378709322,0.000461032,0.858663119,0.935009282,0.781587939
0,0.217452964,0.371230845,0.00044556,0.922514134,0.933563971,0.781598606
0,0.219343859,0.369637181,0.00044561,0.903649061,0.93976514,0.781654326
0,0.225394724,0.371209596,0.000466397,0.899265351,0.937920805,0.781629343
0,0.223220195,0.377012769,0.000466971,0.853493364,0.936223802,0.781624852
0,0.21896568,0.387275964,0.00044319,0.806965565,0.938561233,0.781595659
0,0.221896568,0.388057698,0.000457539,0.805484173,0.933883562,0.781591168
0,0.203554883,0.377159275,0.000397498,0.853251504,0.923742746,0.78124857
0,0.224260187,0.372166913,0.00045417,0.907942075,0.942045501,0.781672712
