Bankrupt,Persistent EPS in the Last Four Seasons,Net profit before tax/Paid-in capital,Borrowing dependency,Net Value Growth Rate,Net worth/Assets,Debt ratio %,Retained Earnings to Total Assets,Continuous interest rate (after tax)
1,0.169140588,0.137757334,0.390284354,0.000326977,0.792423739,0.207576261,0.903224771,0.78098485
1,0.208943935,0.168961617,0.37676002,0.00044304,0.828823654,0.171176346,0.931065218,0.781505974
1,0.180580505,0.148035593,0.37909292,0.000396425,0.792484204,0.207515796,0.909903362,0.780283936
1,0.193722227,0.147560516,0.379742688,0.000382426,0.848535236,0.151464764,0.906902159,0.781240991
1,0.212536636,0.167460976,0.375025443,0.000438948,0.893490945,0.106509055,0.913850197,0.781550045
1,0.174435095,0.137825202,0.381448187,0.000351782,0.819572513,0.180427487,0.903041267,0.781069061
0,0.161482462,0.127939069,0.384998982,0.000351757,0.783898177,0.216101823,0.911441408,0.781180079
0,0.225205635,0.17951889,0.374219105,0.00045105,0.891797926,0.108202074,0.935449309,0.781621483
0,0.218398412,0.172158962,0.370253398,0.000452722,0.941409439,0.058590561,0.935200209,0.781598185
0,0.217831143,0.175657944,0.37450876,0.000444912,0.878707259,0.121292741,0.938289897,0.781574185
0,0.21896568,0.17761104,0.374179962,0.000448555,0.896423497,0.103576503,0.942828956,0.781629483
0,0.20468942,0.171525526,0.373113046,0.000455068,0.905614173,0.094385827,0.932955215,0.781373202
0,0.219343859,0.173290099,0.377306898,0.000442965,0.855337546,0.144662454,0.930139635,0.781609132
0,0.212914815,0.167860644,0.37315107,0.000442092,0.89343048,0.10656952,0.930763203,0.781550887
0,0.226434717,0.177920217,0.373692357,0.000473734,0.910360674,0.089639326,0.940251658,0.781709624
0,0.223787463,0.179828067,0.373544733,0.000469242,0.900928137,0.099071863,0.93354091,0.781652501
0,0.220194762,0.175167785,0.372267566,0.000458562,0.938718747,0.061281253,0.942018219,0.781933905
0,0.233052851,0.188288968,0.372724975,0.000471763,0.921274602,0.078725398,0.948858907,0.781726606
0,0.220005673,0.175062213,0.378709322,0.000461032,0.858663119,0.141336881,0.935009282,0.781587939
0,0.217452964,0.173531408,0.371230845,0.00044556,0.922514134,0.077485866,0.933563971,0.781598606
0,0.219343859,0.17520549,0.369637181,0.00044561,0.903649061,0.096350939,0.93976514,0.781654326
0,0.225394724,0.180665108,0.371209596,0.000466397,0.899265351,0.100734649,0.937920805,0.781629343
0,0.223220195,0.176494985,0.377012769,0.000466971,0.853493364,0.146506636,0.936223802,0.781624852
0,0.21896568,0.172860267,0.387275964,0.00044319,0.806965565,0.193034435,0.938561233,0.781595659
0,0.221896568,0.177309404,0.388057698,0.000457539,0.805484173,0.194515827,0.933883562,0.781591168
0,0.203554883,0.159678757,0.377159275,0.000397498,0.853251504,0.146748496,0.923742746,0.78124857
0,0.224260187,0.178696931,0.372166913,0.00045417,0.907942075,0.092057925,0.942045501,0.781672712
0,0.228420157,0.184986049,0.369875392,0.000458861,0.96390241,0.03609759,0.943096297,0.781699799
0,0.220572941,0.177490385,0.3719712,0.000460982,0.910421139,0.089578861,0.937685848,0.78163622
1,0.177838707,0.138624538,0.392590414,0.000417986,0.780391208,0.219608792,0.908947698,0.7814285
1,0.202514891,0.164565267,0.396528161,0.000417811,0.771109835,0.228890165,0.868460717,0.781367728
0,0.21102392,0.16899178,0.38402489,0.000444213,0.791758624,0.208241376,0.908330179,0.781538255
0,0.225394724,0.178206772,0.37558015,0.000450302,0.883151435,0.116848565,0.93747354,0.78161994
0,0.218209322,0.172091094,0.370535225,0.000452099,0.93766061,0.06233939,0.937101764,0.781598466
0,0.218682046,0.172656662,0.37531398,0.000433258,0.875895637,0.124104363,0.934730337,0.78157615
0,0.213576629,0.17669859,0.376271296,0.000451699,0.877377029,0.122622971,0.938233789,0.781551448
0,0.209794838,0.163471835,0.377688259,0.000415565,0.860718929,0.139281071,0.927407109,0.781472009
0,0.2149948,0.170778976,0.377008296,0.000434106,0.852798017,0.147201983,0.930539498,0.781569974
0,0.215372979,0.169662921,0.372061787,0.000448181,0.904616501,0.095383499,0.932102119,0.781572641
0,0.212253002,0.17031144,0.373058246,0.000443315,0.91991414,0.08008586,0.934363318,0.781533062
0,0.221612934,0.182128045,0.374405871,0.000463228,0.881125858,0.118874142,0.932853038,0.78163608
0,0.220667486,0.175680567,0.372736159,0.000461531,0.93097923,0.06902077,0.942100288,0.781950186
0,0.225489269,0.18026544,0.373331126,0.000447207,0.91335369,0.08664631,0.945429866,0.781676501
0,0.228325612,0.182022472,0.377794503,0.000464077,0.862018926,0.137981074,0.938496381,0.781621624
0,0.222842016,0.176525149,0.371372877,0.000451799,0.908849049,0.091150951,0.935180058,0.781655308
0,0.220572941,0.175929417,0.369637181,0.000448929,0.905765335,0.094234665,0.94055514,0.781683238
0,0.222842016,0.181652967,0.370670547,0.000456316,0.900323488,0.099676512,0.937669899,0.781610396
0,0.225772903,0.180122163,0.375735602,0.000453596,0.85805847,0.14194153,0.937543557,0.781642255
0,0.219532949,0.174368449,0.388924428,0.000449154,0.798893491,0.201106509,0.939119704,0.781601694
0,0.218492956,0.175152703,0.38553915,0.000455318,0.815339964,0.184660036,0.932966188,0.781582887
0,0.212442091,0.165794435,0.378099816,0.000432809,0.84578408,0.15421592,0.9211574,0.781507378
0,0.223882008,0.179413317,0.372056195,0.000445885,0.908395562,0.091604438,0.941752414,0.781671027
0,0.221612934,0.177550713,0.371134666,0.000461606,0.948151283,0.051848717,0.937410454,0.781644361
0,0.221896568,0.177354649,0.371953306,0.000459909,0.906097893,0.093902107,0.936300905,0.781659519
1,0.200151272,0.157016816,0.392383517,0.000401067,0.78964235,0.21035765,0.920882488,0.781277061
1,0.206013047,0.167310158,0.405124999,0.000401291,0.764700547,0.235299453,0.91282594,0.781515799
1,0.084239387,0.072453058,0.262035237,0.000154243,0.678628654,0.321371346,0.841966378,0.780926604
1,0.175002364,0.140351406,0.391787431,0.000350634,0.778547027,0.221452973,0.915031112,0.781353132
0,0.215656613,0.169836362,0.38224446,0.00044883,0.797140007,0.202859993,0.903544494,0.781574045
0,0.22095112,0.174609758,0.37787167,0.000406108,0.858451492,0.141548508,0.936347817,0.78158808
0,0.215089345,0.16998718,0.369637181,0.000446284,0.958369864,0.041630136,0.942043664,0.781571238
0,0.218871135,0.163690521,0.374532246,0.000417661,0.877588657,0.122411343,0.928823726,0.781577834
0,0.210551196,0.172664203,0.37558015,0.000438973,0.883786317,0.116213683,0.934188186,0.781508501
0,0.21698024,0.17114094,0.379104104,0.000451949,0.847900354,0.152099646,0.931638648,0.781598746
0,0.210645741,0.166706885,0.378454336,0.000436677,0.841611996,0.158388004,0.929574206,0.781527027
0,0.215751158,0.170786517,0.372762999,0.000444487,0.899446745,0.100553255,0.933718216,0.78157601
0,0.20884939,0.164278712,0.373364677,0.000432659,0.9142002,0.0857998,0.927521695,0.781479869
0,0.222558381,0.176841867,0.374562441,0.000445985,0.886688636,0.113311364,0.932855984,0.78164015
0,0.218114777,0.172151421,0.372542682,0.000447307,0.934576896,0.065423104,0.941790765,0.781771379
0,0.220100217,0.175944499,0.377393012,0.000446134,0.859993349,0.140006651,0.940692863,0.781597904
0,0.234943746,0.189993213,0.374286206,0.000466173,0.897209541,0.102790459,0.942619685,0.781634396
0,0.225772903,0.180966745,0.370275765,0.000444512,0.917918796,0.082081204,0.939887837,0.781668361
0,0.219816583,0.175529749,0.369637181,0.000448605,0.901502555,0.098497445,0.940056133,0.781682255
0,0.236078283,0.189088304,0.370900929,0.000455193,0.9058258,0.0941742,0.942446954,0.781671027
0,0.227569254,0.181275922,0.374071481,0.000466323,0.870967742,0.129032258,0.938416026,0.781660501
0,0.218587501,0.173772717,0.388757792,0.000452822,0.803337667,0.196662333,0.939490544,0.781589483
0,0.226907441,0.180295604,0.384182579,0.000466397,0.817939958,0.182060042,0.935860147,0.781617554
0,0.216885695,0.170447176,0.378162444,0.000429814,0.843335248,0.156664752,0.932608836,0.781626676
0,0.232485582,0.187225699,0.371386297,0.000445436,0.910662998,0.089337002,0.947071789,0.781733484
0,0.223598374,0.177437599,0.37081146,0.000461856,0.959941954,0.040058046,0.937759735,0.781663869
0,0.223692919,0.178998567,0.370833827,0.000459235,0.928137376,0.071862624,0.937901496,0.781717624
1,0.198354921,0.155697157,0.381058998,0.00039947,0.814916709,0.185083291,0.920323044,0.78147622
0,0.216507516,0.154596184,0.380509883,0.000423077,0.800767905,0.199232095,0.890634803,0.78158022
0,0.21896568,0.171020285,0.37773523,0.000441418,0.861081718,0.138918282,0.935490858,0.781579097
0,0.215467524,0.16990423,0.369637181,0.000447083,0.951295462,0.048704538,0.942644715,0.781574466
0,0.211118465,0.165138376,0.37784483,0.000431461,0.852979412,0.147020588,0.929281716,0.781555518
0,0.220856576,0.175092376,0.376993757,0.000440395,0.869788675,0.130211325,0.935256306,0.781643799
0,0.215845703,0.169791117,0.380571393,0.000444363,0.840311999,0.159688001,0.932474784,0.781582325
0,0.211402099,0.169851444,0.379165614,0.000437899,0.838891072,0.161108928,0.929809936,0.781538676
0,0.214427531,0.167815399,0.37342395,0.000454819,0.887293285,0.112706715,0.931455733,0.78156436
0,0.209983927,0.164587889,0.373503354,0.000431386,0.908063005,0.091936995,0.926685637,0.781512009
0,0.228892881,0.184435563,0.373316588,0.000452573,0.895818847,0.104181153,0.937256539,0.78167987
0,0.229176515,0.176917276,0.372026,0.000447108,0.940744324,0.059255676,0.948081249,0.782308643
0,0.218871135,0.172701908,0.375376608,0.0004378,0.87471657,0.12528343,0.941712687,0.781590606
0,0.22709653,0.181532313,0.374602702,0.000440095,0.889318862,0.110681138,0.939097145,0.781595378
0,0.232485582,0.185257522,0.370924414,0.0004651,0.906974635,0.093025365,0.94295667,0.781709343
0,0.2149948,0.170597994,0.369637181,0.000469492,0.952172204,0.047827796,0.939296757,0.781576992
