Bankrupt, ROA(B) before interest and depreciation after tax, Total debt/Total net worth, Debt ratio %, Retained Earnings to Total Assets
0,0.559077038,0.013171741,0.17498564,0.955678013
0,0.690508057,0.001042322,0.030172023,0.959612215
0,0.651480272,0.001381556,0.038697584,0.950570815
0,0.62096472,0.0089295,0.146295009,0.947606524
0,0.669736067,0.001076063,0.031018533,0.962467886
0,0.670699716,0.00113169,0.032469692,0.953555647
0,0.606402912,0.002607173,0.065483569,0.931467954
0,0.6671128,0.00109339,0.03147202,0.951443453
0,0.554258793,0.014859701,0.183571666,0.9347402
0,0.584078377,0.007412068,0.132478762,0.946753832
0,0.613790888,0.002151214,0.056171962,0.937717059
0,0.60046041,0.006805643,0.126250869,0.959016031
0,0.60072809,0.001254799,0.035583638,0.940566414
0,0.600032122,0.010381273,0.157511262,0.94102693
0,0.597301783,0.001516519,0.041932461,0.941837284
1,0.515659297,0.121796661,0.276869124,0.912138876
0,0.561914449,0.003216334,0.076820752,0.934466817
0,0.576047968,0.001871255,0.050095232,0.936674848
0,0.568981209,0.00226338,0.058560329,0.934239948
0,0.586326891,0.005841746,0.115276476,0.945670681
0,0.593500723,0.009422847,0.150315929,0.942842826
0,0.563252851,0.007275281,0.1311183,0.941093086
0,0.555543659,0.011338787,0.164041479,0.952695915
0,0.564912469,0.007943716,0.137588052,0.958727624
0,0.574013598,0.008093271,0.138978747,0.937194427
0,0.577172225,0.0019588,0.052030112,0.935872758
0,0.589271374,0.007329084,0.131662485,0.943071757
0,0.632100219,0.003241868,0.077274239,0.949227528
0,0.610846405,0.002647298,0.066269613,0.947061172
0,0.582739975,0.005376668,0.109471838,0.939239
0,0.552224423,0.005070263,0.105450918,0.935732975
0,0.579474276,0.001500105,0.041539438,0.935851949
0,0.611060549,0.004493019,0.097378843,0.956821091
0,0.592108785,0.004898823,0.103123016,0.941053821
0,0.645055945,0.006211984,0.119660187,0.947699673
0,0.594571444,0.004852315,0.102488134,0.948519733
0,0.562289202,0.015723288,0.187532122,0.94431147
0,0.57915306,0.006467321,0.122532273,0.946288332
0,0.573638846,0.00625758,0.120174139,0.941294675
0,0.533004979,0.028896853,0.225655289,0.931819443
0,0.610899941,0.009197603,0.14850198,0.940831929
0,0.566946839,0.007833374,0.136560148,0.956321856
0,0.514909792,0.055548564,0.255373825,0.916132015
0,0.55077895,0.001015876,0.029476676,0.917732694
0,0.576101504,0.008101478,0.139069444,0.940005629
0,0.559933615,0.007624545,0.134564803,0.940010767
0,0.619947535,0.005888254,0.115850893,0.942795353
0,0.512286525,0.014835992,0.183480969,0.926713322
0,0.550029445,0.012533399,0.171387974,0.944646767
0,0.554687082,0.012089295,0.168727515,0.943595133
1,0.540018202,0.010990434,0.16174381,0.929911963
0,0.591038064,0.006559425,0.123560178,0.937014587
1,0.52117351,0.009516775,0.151041509,0.922643076
0,0.550939558,0.010039304,0.155001965,0.940211366
0,0.548262755,0.010535387,0.158599631,0.943787765
0,0.564162964,0.009122826,0.14789733,0.947259978
0,0.551689063,0.017515206,0.194908849,0.938030828
0,0.577065153,0.010756983,0.160141488,0.935503821
0,0.531987794,0.021523997,0.208332074,0.930771057
